session_id,user_id,地点/场景,身体状态标签,心情状态标签,口味偏好,冷热偏好,饮食限制,推荐方向
S215,U215,地铁/公交/车站、公园/户外,疲劳、感觉有点热,烦躁,清爽、果香、气泡感,冷饮,,冷饮清爽果香型
S216,U216,商场/商业街,困倦,开心,奶香、咖啡香、甜感,冷饮,,冷饮奶香咖啡香型
S217,U217,图书馆/自习室,困倦,平静,茶香、清爽,热饮,,热饮清爽茶香型
S218,U218,学校/教学楼、公园/户外,疲劳、感觉有点冷,平静,花香,热饮,,热饮花香型
S219,U219,商场/商业街、地铁/公交/车站,疲劳,烦躁,果香、气泡感,冷饮,,冷饮果香气泡感型
S220,U220,公园/户外,困倦、感觉有点热,平静,茶香、酸感、清爽,冷饮,,冷饮清爽茶香型
S221,U221,家/宿舍、公园/户外,疲劳、感觉有点冷,平静,花香、清爽,热饮,,热饮清爽花香型
S222,U222,家/宿舍、商场/商业街,疲劳,开心,奶香、甜感,热饮,,热饮奶香甜感型
S223,U223,家/宿舍、图书馆/自习室,困倦、疲劳,紧张,茶香、清爽,热饮,,热饮清爽茶香型
S224,U224,家/宿舍、学校/教学楼、公园/户外,困倦、感觉有点冷,低落,花香、甜感,热饮,,热饮花香甜感型
S225,U225,家/宿舍、商场/商业街、公园/户外,疲劳、感觉有点冷,烦躁,奶香,热饮,,热饮奶香型
S226,U226,家/宿舍、健身房/运动场,疲劳、口渴,烦躁,清爽、果香,热饮,,热饮清爽果香型
S227,U227,家/宿舍、地铁/公交/车站、公园/户外,疲劳、感觉有点冷,平静,花香、清爽,热饮,,热饮清爽花香型
S228,U228,家/宿舍、学校/教学楼、图书馆/自习室,困倦、疲劳,烦躁,茶香、花香、清爽,热饮,,热饮清爽茶香型
S229,U229,家/宿舍、公园/户外,困倦、感觉有点冷,开心,甜感,热饮,,热饮甜感型
S230,U230,家/宿舍、商场/商业街,疲劳,平静,果香、甜感,热饮,,热饮果香甜感型
S231,U231,健身房/运动场、公园/户外,疲劳、感觉有点热,烦躁,清爽、果香、酸感,冷饮,,冷饮清爽果香型
S232,U232,健身房/运动场、商场/商业街,疲劳、口渴,开心,果香、气泡感,冷饮,,冷饮果香气泡感型
S233,U233,健身房/运动场、公园/户外,疲劳、感觉有点冷,平静,茶香、清爽,热饮,,热饮清爽茶香型
S234,U234,健身房/运动场、地铁/公交/车站,疲劳、口渴,烦躁,清爽,冷饮,,冷饮清爽型
S235,U235,健身房/运动场、公园/户外,疲劳、感觉有点热,平静,清爽、咖啡香、酸感,冷饮,,冷饮清爽咖啡香型
S236,U236,健身房/运动场、公园/户外,疲劳、感觉有点冷,开心,奶香,热饮,,热饮奶香型
S237,U237,健身房/运动场、商场/商业街,疲劳、口渴,烦躁,果香、酸感、气泡感,冷饮,,冷饮果香气泡感型
S238,U238,图书馆/自习室、健身房/运动场,疲劳、口渴,平静,茶香、清爽,热饮,,热饮清爽茶香型
S239,U239,健身房/运动场、地铁/公交/车站,疲劳、口渴,开心,果香、甜感、清爽,冷饮,,冷饮清爽果香型
S240,U240,学校/教学楼、健身房/运动场,疲劳、困倦,平静,清爽、茶香、苦感,冷饮,,冷饮清爽茶香型
S241,U241,商场/商业街、公园/户外,疲劳、感觉有点热,开心,果香、甜感、气泡感,冷饮,,冷饮果香气泡感型
S242,U242,商场/商业街、公园/户外,疲劳、感觉有点冷,平静,奶香、甜感,热饮,,热饮奶香甜感型
S243,U243,商场/商业街、地铁/公交/车站,困倦,平静,咖啡香、苦感,热饮,,热饮咖啡香苦感型
S244,U244,健身房/运动场、商场/商业街,疲劳、口渴,烦躁,果香、酸感、气泡感,冷饮,,冷饮果香气泡感型
S245,U245,图书馆/自习室、商场/商业街,疲劳,开心,果香、花香、清爽,冷饮,,冷饮清爽果香型
S246,U246,学校/教学楼、图书馆/自习室,困倦,紧张,咖啡香、苦感,热饮,,热饮咖啡香苦感型
S247,U247,学校/教学楼、公园/户外,困倦、感觉有点冷,平静,茶香、花香,热饮,,热饮茶香花香型
S248,U248,学校/教学楼、公园/户外,疲劳、感觉有点热,烦躁,清爽、果香、酸感,冷饮,,冷饮清爽果香型
S249,U249,学校/教学楼、地铁/公交/车站,困倦,平静,茶香、苦感、清爽,冷饮,,冷饮清爽茶香型
S250,U250,学校/教学楼、商场/商业街,疲劳,开心,奶香、咖啡香、苦感,热饮,,热饮奶香咖啡香型
S251,U251,地铁/公交/车站,困倦,平静,清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽型
S252,U252,图书馆/自习室,困倦,紧张,清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽型
S253,U253,公园/户外,感觉有点冷,平静,清爽,热饮,低刺激,低刺激热饮清爽型
S254,U254,学校/教学楼,困倦,紧张,清爽,冷饮,低糖,低糖冷饮清爽型
S255,U255,公园/户外,疲劳、感觉有点热,烦躁,清爽,冷饮,低糖,低糖冷饮清爽型
S256,U256,图书馆/自习室,疲劳,平静,清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽型
S257,U257,学校/教学楼,困倦,烦躁,清爽,冷饮,低糖,低糖冷饮清爽型
S258,U258,公园/户外,疲劳、感觉有点冷,低落,清爽,热饮,,热饮清爽型
S259,U259,地铁/公交/车站,困倦,烦躁,清爽,冷饮,低糖,低糖冷饮清爽型
S260,U260,商场/商业街,疲劳,开心,清爽,热饮,乳糖不耐慎用,乳糖不耐慎用热饮清爽型
S261,U261,公园/户外,疲劳、感觉有点冷,平静,清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽型
S262,U262,图书馆/自习室,困倦,紧张,清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽型
S263,U263,地铁/公交/车站,良好,烦躁,清爽,热饮,低刺激,低刺激热饮清爽型
S264,U264,商场/商业街,良好,平静,清爽,热饮,乳糖不耐慎用,乳糖不耐慎用热饮清爽型
S265,U265,学校/教学楼,困倦,紧张,清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽型
S266,U266,公园/户外,疲劳、感觉有点热,烦躁,清爽,冷饮,,冷饮清爽型
S267,U267,地铁/公交/车站,疲劳,烦躁,清爽,冷饮,低糖,低糖冷饮清爽型
S268,U268,公园/户外,疲劳、感觉有点冷,平静,清爽,热饮,,热饮清爽型
S269,U269,商场/商业街,疲劳,开心,清爽,冷饮,低糖,低糖冷饮清爽型
S270,U270,图书馆/自习室,疲劳,平静,清爽,热饮,低刺激,低刺激热饮清爽型
S271,U271,家/宿舍,困倦,烦躁,清爽,冷饮,低糖,低糖冷饮清爽型
S272,U272,公园/户外,疲劳、感觉有点冷,平静,清爽,热饮,,热饮清爽型
S273,U273,公园/户外,疲劳、感觉有点热,烦躁,清爽,冷饮,,冷饮清爽型
S274,U274,学校/教学楼,困倦,紧张,清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽型
S275,U275,商场/商业街,良好,平静,清爽,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽型
S276,U276,公园/户外,疲劳、感觉有点热,开心,清爽,冷饮,,冷饮清爽型
S277,U277,公园/户外,疲劳、感觉有点冷,平静,清爽,热饮,,热饮清爽型
S278,U278,学校/教学楼,疲劳,烦躁,清爽,冷饮,低糖,低糖冷饮清爽型
S279,U279,家/宿舍,疲劳,开心,清爽,热饮,乳糖不耐慎用,乳糖不耐慎用热饮清爽型
S280,U280,地铁/公交/车站,良好,开心,清爽,冷饮,低糖,低糖冷饮清爽型
S281,U281,图书馆/自习室,困倦,紧张,清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽型
S282,U282,家/宿舍,困倦,烦躁,清爽,冷饮,低糖,低糖冷饮清爽型
S283,U283,公园/户外,疲劳、感觉有点冷,低落,清爽,热饮,,热饮清爽型
S284,U284,家/宿舍,良好,平静,清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽型
S285,U285,家/宿舍,困倦、疲劳,紧张,清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽型
S286,U286,地铁/公交/车站,疲劳,烦躁,清爽,冷饮,,冷饮清爽型
S287,U287,健身房/运动场,疲劳、口渴,开心,清爽,冷饮,低糖,低糖冷饮清爽型
S288,U288,商场/商业街,疲劳,烦躁,清爽,冷饮,乳糖不耐慎用,乳糖不耐慎用冷饮清爽型
S289,U289,家/宿舍,困倦,平静,清爽,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽型
S290,U290,学校/教学楼,良好,烦躁,清爽,热饮,低刺激,低刺激热饮清爽型
S291,U291,家/宿舍,困倦,平静,清爽,热饮,,热饮清爽型
S292,U292,家/宿舍,疲劳,平静,清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽型
S293,U293,地铁/公交/车站,良好,平静,清爽,热饮,低刺激,低刺激热饮清爽型
S294,U294,商场/商业街,良好,开心,清爽,热饮,乳糖不耐慎用,乳糖不耐慎用热饮清爽型
S295,U295,图书馆/自习室,困倦,紧张,清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽型
S296,U296,家/宿舍,疲劳,烦躁,清爽,冷饮,低糖,低糖冷饮清爽型
S297,U297,家/宿舍,困倦、疲劳,紧张,清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽型
S298,U298,学校/教学楼,良好,平静,清爽,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽型
S299,U299,公园/户外,感觉有点冷,低落,清爽,热饮,低刺激,低刺激热饮清爽型
S300,U300,家/宿舍,良好,开心,清爽,热饮,低糖,低糖热饮清爽型
S301,U301,地铁/公交/车站,困倦,紧张,茶香、苦感,常温,咖啡因敏感慎用,咖啡因敏感慎用常温茶香苦感型
S302,U302,图书馆/自习室,疲劳,平静,果香、清爽,常温,低糖,低糖常温清爽果香型
S303,U303,公园/户外,感觉有点冷,平静,花香,热饮,低刺激,低刺激热饮花香型
S304,U304,商场/商业街,疲劳,开心,奶香,常温,,常温奶香型
S305,U305,公园/户外,疲劳、感觉有点热,烦躁,清爽、果香,冷饮,低糖,低糖冷饮清爽果香型
S306,U306,图书馆/自习室,困倦,紧张,茶香,常温,咖啡因敏感慎用,咖啡因敏感慎用常温茶香型
S307,U307,地铁/公交/车站,疲劳、困倦,烦躁,咖啡香、苦感,常温,低糖,低糖常温咖啡香苦感型
S308,U308,图书馆/自习室,疲劳,平静,花香、清爽,常温,咖啡因敏感慎用,咖啡因敏感慎用常温清爽花香型
S309,U309,地铁/公交/车站,良好,平静,茶香,常温,乳糖不耐慎用,乳糖不耐慎用常温茶香型
S310,U310,商场/商业街,良好,开心,果香、气泡感,常温,低糖,低糖常温果香气泡感型
S311,U311,图书馆/自习室,困倦,平静,清爽、茶香,常温,咖啡因敏感慎用,咖啡因敏感慎用常温清爽茶香型
S312,U312,商场/商业街,疲劳,烦躁,果香、甜感,常温,,常温果香甜感型
S313,U313,公园/户外,疲劳、感觉有点冷,烦躁,清爽,热饮,低刺激,低刺激热饮清爽型
S314,U314,学校/教学楼,困倦,紧张,咖啡香、苦感,常温,低糖,低糖常温咖啡香苦感型
S315,U315,公园/户外,感觉有点热,开心,果香、酸感,冷饮,乳糖不耐慎用,乳糖不耐慎用冷饮果香酸感型
S316,U316,图书馆/自习室,疲劳,低落,茶香、清爽,常温,低糖,低糖常温清爽茶香型
S317,U317,公园/户外,感觉有点冷,平静,花香,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮花香型
S318,U318,商场/商业街,疲劳,烦躁,果香、气泡感,常温,,常温果香气泡感型
S319,U319,地铁/公交/车站,困倦,烦躁,清爽、茶香,常温,低糖,低糖常温清爽茶香型
S320,U320,家/宿舍,困倦、疲劳,紧张,茶香、清爽,常温,低刺激、咖啡因敏感慎用,低刺激常温清爽茶香型
S321,U321,商场/商业街,疲劳,烦躁,果香、花香,冷饮,低糖,低糖冷饮果香花香型
S322,U322,图书馆/自习室,疲劳,紧张,咖啡香、清爽、苦感,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽咖啡香型
S323,U323,图书馆/自习室,疲劳,开心,清爽,冷饮,低糖,低糖冷饮清爽型
S324,U324,地铁/公交/车站,困倦,平静,清爽、茶香,热饮,,热饮清爽茶香型
S325,U325,图书馆/自习室,疲劳,低落、平静,茶香,热饮,乳糖不耐慎用,乳糖不耐慎用热饮茶香型
S326,U326,商场/商业街,疲劳,开心,酸感、清爽,冷饮,低糖,低糖冷饮清爽酸感型
S327,U327,图书馆/自习室,疲劳,平静,茶香,热饮,乳糖不耐慎用,乳糖不耐慎用热饮茶香型
S328,U328,学校/教学楼,疲劳、困倦,烦躁、平静,清爽,常温,低糖、咖啡因敏感慎用,低糖常温清爽型
S329,U329,商场/商业街,疲劳,烦躁,清爽、果香,冷饮,低糖,低糖冷饮清爽果香型
S330,U330,图书馆/自习室,疲劳,烦躁、平静,茶香、咖啡香、苦感,冷饮,,冷饮茶香咖啡香型
S331,U331,公园/户外,疲劳、困倦,平静,甜感,热饮,乳糖不耐慎用,乳糖不耐慎用热饮甜感型
S332,U332,图书馆/自习室,疲劳,烦躁、平静,酸感、清爽,冷饮,低糖,低糖冷饮清爽酸感型
S333,U333,商场/商业街,疲劳,开心,茶香、果香、酸感,冷饮,低糖,低糖冷饮茶香果香型
S334,U334,公园/户外,疲劳、感觉有点冷,烦躁,清爽,热饮,低刺激,低刺激热饮清爽型
S335,U335,公园/户外,困倦、感觉有点冷,烦躁,清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽型
S336,U336,图书馆/自习室,疲劳,紧张,茶香、苦感,常温,咖啡因敏感慎用,咖啡因敏感慎用常温茶香苦感型
S337,U337,公园/户外,疲劳、感觉有点冷,紧张、平静,清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽型
S338,U338,图书馆/自习室,疲劳,紧张,清爽、茶香、咖啡香,热饮,低糖,低糖热饮清爽茶香型
S339,U339,健身房/运动场,疲劳、口渴,开心,酸感、气泡感,冷饮,低糖,低糖冷饮气泡感酸感型
S340,U340,健身房/运动场,困倦、口渴,开心,酸感、清爽,冷饮,,冷饮清爽酸感型
S341,U341,公园/户外,疲劳、困倦,平静,花香、清爽,热饮,低刺激、咖啡因敏感慎用,低刺激热饮清爽花香型
S342,U342,公园/户外,疲劳、感觉有点热,烦躁、开心,果香、酸感、气泡感,冷饮,低糖,低糖冷饮果香气泡感型
S343,U343,图书馆/自习室,疲劳,紧张,茶香、苦感,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮茶香苦感型
S344,U344,地铁/公交/车站,困倦,紧张,清爽,冷饮,低糖,低糖冷饮清爽型
S345,U345,公园/户外,疲劳、困倦,低落,茶香、花香、清爽,热饮,低刺激,低刺激热饮清爽茶香型
S346,U346,地铁/公交/车站,疲劳,烦躁、平静,花香、清爽,常温,低刺激,低刺激常温清爽花香型
S347,U347,图书馆/自习室,困倦,紧张,清爽、咖啡香、苦感,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽咖啡香型
S348,U348,公园/户外,疲劳、感觉有点热,平静,清爽,热饮,低刺激,低刺激热饮清爽型
S349,U349,公园/户外,疲劳、感觉有点冷,低落,茶香、清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽茶香型
S350,U350,商场/商业街,困倦,开心,酸感、清爽,常温,低糖,低糖常温清爽酸感型
S351,U351,地铁/公交/车站,困倦,烦躁,果香、清爽,冷饮,低糖,低糖冷饮清爽果香型
S352,U352,公园/户外,疲劳、困倦,平静,清爽,热饮,低刺激、咖啡因敏感慎用,低刺激热饮清爽型
S353,U353,公园/户外,疲劳、困倦,烦躁,苦感、清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽苦感型
S354,U354,商场/商业街,疲劳,开心,花香,热饮,乳糖不耐慎用,乳糖不耐慎用热饮花香型
S355,U355,商场/商业街,疲劳,开心,清爽、果香,冷饮,低糖,低糖冷饮清爽果香型
S356,U356,地铁/公交/车站,疲劳,开心,果香、清爽,常温,低糖,低糖常温清爽果香型
S357,U357,健身房/运动场,疲劳、口渴,开心,酸感、清爽,冷饮,低糖,低糖冷饮清爽酸感型
S358,U358,地铁/公交/车站,疲劳、困倦,平静,甜感,热饮,乳糖不耐慎用,乳糖不耐慎用热饮甜感型
S359,U359,健身房/运动场,疲劳、口渴,平静,茶香、清爽,冷饮,低糖,低糖冷饮清爽茶香型
S360,U360,地铁/公交/车站,疲劳、困倦,紧张,清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽型
S361,U361,公园/户外,疲劳、感觉有点热,开心,清爽、酸感,冷饮,低糖,低糖冷饮清爽酸感型
S362,U362,地铁/公交/车站,困倦,开心,清爽,热饮,乳糖不耐慎用,乳糖不耐慎用热饮清爽型
S363,U363,公园/户外,疲劳、感觉有点热,烦躁,花香、气泡感,冷饮,,冷饮花香气泡感型
S364,U364,图书馆/自习室,疲劳,低落,花香,热饮,低刺激,低刺激热饮花香型
S365,U365,公园/户外,疲劳、感觉有点冷,低落,甜感,热饮,低糖,低糖热饮甜感型
S366,U366,商场/商业街,疲劳,平静,花香,冷饮,乳糖不耐慎用,乳糖不耐慎用冷饮花香型
S367,U367,公园/户外,困倦、感觉有点热,平静,清爽,热饮,低刺激、咖啡因敏感慎用,低刺激热饮清爽型
S368,U368,图书馆/自习室,疲劳、困倦,紧张,清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽型
S369,U369,地铁/公交/车站,疲劳,开心,奶香,热饮,,热饮奶香型
S370,U370,公园/户外,疲劳、感觉有点热,开心,茶香、果香,冷饮,低糖,低糖冷饮茶香果香型
S371,U371,地铁/公交/车站,疲劳,紧张、烦躁,甜感、气泡感、清爽,热饮,,热饮清爽气泡感型
S372,U372,图书馆/自习室,困倦,平静,花香,热饮,乳糖不耐慎用,乳糖不耐慎用热饮花香型
S373,U373,商场/商业街,疲劳,烦躁,酸感、清爽,冷饮,低糖,低糖冷饮清爽酸感型
S374,U374,学校/教学楼,疲劳,烦躁、紧张,咖啡香、苦感,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮咖啡香苦感型
S375,U375,地铁/公交/车站,疲劳,紧张,苦感,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮苦感型
S376,U376,商场/商业街,困倦,低落、开心,清爽,热饮,乳糖不耐慎用,乳糖不耐慎用热饮清爽型
S377,U377,地铁/公交/车站,疲劳,烦躁,果香、气泡感,冷饮,,冷饮果香气泡感型
S378,U378,商场/商业街,疲劳,平静,清爽、果香,冷饮,低糖,低糖冷饮清爽果香型
S379,U379,地铁/公交/车站,困倦,平静,清爽,热饮,低糖、乳糖不耐慎用,低糖热饮清爽型
S380,U380,公园/户外,疲劳、感觉有点冷,平静,咖啡香、苦感,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮咖啡香苦感型
S381,U381,公园/户外,疲劳、感觉有点冷,平静,茶香、花香,热饮,低刺激,低刺激热饮茶香花香型
S382,U382,图书馆/自习室,困倦,低落,茶香,热饮,低刺激、乳糖不耐慎用,低刺激热饮茶香型
S383,U383,地铁/公交/车站,疲劳,烦躁,清爽、气泡感,热饮,低糖,低糖热饮清爽气泡感型
S384,U384,图书馆/自习室,疲劳,烦躁、平静,茶香、果香,冷饮,低糖,低糖冷饮茶香果香型
S385,U385,地铁/公交/车站,疲劳,开心、平静,果香,热饮,乳糖不耐慎用,乳糖不耐慎用热饮果香型
S386,U386,公园/户外,疲劳、困倦,开心,花香、甜感,热饮,低糖,低糖热饮花香甜感型
S387,U387,图书馆/自习室,疲劳,紧张、平静,清爽,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽型
S388,U388,公园/户外,疲劳、感觉有点冷,开心,花香,热饮,低糖,低糖热饮花香型
S389,U389,商场/商业街,困倦,烦躁,清爽、气泡感,冷饮,低糖,低糖冷饮清爽气泡感型
S390,U390,公园/户外,困倦、感觉有点冷,烦躁、紧张,茶香、苦感,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮茶香苦感型
S391,U391,公园/户外,疲劳、困倦,烦躁,花香,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮花香型
S392,U392,地铁/公交/车站,疲劳、困倦,烦躁,咖啡香、清爽、苦感,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽咖啡香型
S393,U393,地铁/公交/车站,困倦,烦躁、平静,咖啡香、清爽、苦感,常温,咖啡因敏感慎用,咖啡因敏感慎用常温清爽咖啡香型
S394,U394,健身房/运动场,口渴、疲劳,烦躁、开心,果香、酸感、清爽,冷饮,低糖,低糖冷饮清爽果香型
S395,U395,商场/商业街,疲劳,烦躁,果香、气泡感、清爽,常温,低糖,低糖常温清爽果香型
S396,U396,图书馆/自习室,疲劳,平静,清爽、果香,冷饮,低糖,低糖冷饮清爽果香型
S397,U397,学校/教学楼,良好,平静,清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽型
S398,U398,商场/商业街,疲劳,开心、烦躁,花香、气泡感,热饮,低糖,低糖热饮花香气泡感型
S399,U399,公园/户外,疲劳、感觉有点热,开心,清爽,冷饮,低糖,低糖冷饮清爽型
S400,U400,学校/教学楼,困倦,紧张,清爽,冷饮,,冷饮清爽型
S401,U401,商场/商业街,困倦,低落,茶香,热饮,低刺激、乳糖不耐慎用,低刺激热饮茶香型
S402,U402,健身房/运动场,疲劳、口渴,开心,清爽,冷饮,低糖,低糖冷饮清爽型
S403,U403,地铁/公交/车站,疲劳,开心,清爽,热饮,低糖、乳糖不耐慎用,低糖热饮清爽型
S404,U404,公园/户外,疲劳、感觉有点热,开心、烦躁,甜感、气泡感、清爽,冷饮,低糖,低糖冷饮清爽气泡感型
S405,U405,图书馆/自习室,良好,平静,清爽,热饮,低刺激,低刺激热饮清爽型
S406,U406,商场/商业街,疲劳,低落,清爽,冷饮,乳糖不耐慎用,乳糖不耐慎用冷饮清爽型
S407,U407,图书馆/自习室,困倦,开心,清爽,热饮,低刺激,低刺激热饮清爽型
S408,U408,地铁/公交/车站,疲劳,开心、烦躁,清爽、气泡感,冷饮,低糖,低糖冷饮清爽气泡感型
S409,U409,学校/教学楼,疲劳,烦躁,清爽,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽型
S410,U410,公园/户外,疲劳、困倦,紧张,咖啡香、清爽、苦感,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽咖啡香型
S411,U411,图书馆/自习室,疲劳,平静,果香、花香,常温,乳糖不耐慎用,乳糖不耐慎用常温果香花香型
S412,U412,地铁/公交/车站,疲劳,烦躁、紧张,清爽、苦感,热饮,低糖,低糖热饮清爽苦感型
S413,U413,图书馆/自习室,疲劳,开心,茶香、花香,热饮,低刺激,低刺激热饮茶香花香型
S414,U414,图书馆/自习室,良好,低落,果香、花香,常温,乳糖不耐慎用,乳糖不耐慎用常温果香花香型
S415,U415,图书馆/自习室,疲劳,紧张,清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽型
S416,U416,图书馆/自习室,疲劳,平静,花香,热饮,低刺激,低刺激热饮花香型
S417,U417,学校/教学楼,困倦,烦躁,清爽、苦感,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽苦感型
S418,U418,公园/户外,疲劳、困倦,低落,清爽,热饮,低刺激,低刺激热饮清爽型
S419,U419,健身房/运动场,疲劳、口渴,开心,清爽、酸感,冷饮,低糖,低糖冷饮清爽酸感型
S420,U420,商场/商业街,疲劳,开心,酸感、清爽,冷饮,,冷饮清爽酸感型
S421,U421,地铁/公交/车站,疲劳,烦躁,果香、甜感,冷饮,低糖、乳糖不耐慎用,低糖冷饮果香甜感型
S422,U422,地铁/公交/车站,疲劳,低落,清爽,热饮,乳糖不耐慎用,乳糖不耐慎用热饮清爽型
S423,U423,公园/户外,困倦、感觉有点热,平静,清爽,热饮,低刺激,低刺激热饮清爽型
S424,U424,图书馆/自习室,疲劳,平静,清爽,常温,低刺激,低刺激常温清爽型
S425,U425,公园/户外,困倦、感觉有点冷,平静,花香,热饮,乳糖不耐慎用,乳糖不耐慎用热饮花香型
S426,U426,健身房/运动场,困倦、口渴,烦躁、开心,酸感、气泡感、清爽,冷饮,低糖,低糖冷饮清爽气泡感型
S427,U427,公园/户外,疲劳、感觉有点冷,烦躁,清爽,热饮,低刺激,低刺激热饮清爽型
S428,U428,公园/户外,疲劳、感觉有点热,平静,清爽、茶香,冷饮,低糖,低糖冷饮清爽茶香型
S429,U429,公园/户外,疲劳、感觉有点冷,开心,清爽,热饮,乳糖不耐慎用,乳糖不耐慎用热饮清爽型
S430,U430,公园/户外,疲劳、感觉有点热,开心,花香、气泡感,冷饮,低糖,低糖冷饮花香气泡感型
S431,U431,商场/商业街,疲劳、困倦,低落,花香,冷饮,低糖、乳糖不耐慎用,低糖冷饮花香型
S432,U432,地铁/公交/车站,困倦,烦躁、平静,咖啡香、苦感、清爽,冷饮,低糖、咖啡因敏感慎用,低糖冷饮清爽咖啡香型
S433,U433,公园/户外,疲劳、感觉有点热,开心、烦躁,气泡感、清爽,冷饮,低糖,低糖冷饮清爽气泡感型
S434,U434,公园/户外,困倦、感觉有点冷,开心,茶香,热饮,乳糖不耐慎用,乳糖不耐慎用热饮茶香型
S435,U435,学校/教学楼,困倦,平静,茶香,常温,咖啡因敏感慎用,咖啡因敏感慎用常温茶香型
S436,U436,图书馆/自习室,困倦,平静,茶香、苦感、清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽茶香型
S437,U437,图书馆/自习室,疲劳,平静,清爽,热饮,咖啡因敏感慎用、乳糖不耐慎用,咖啡因敏感慎用热饮清爽型
S438,U438,图书馆/自习室,疲劳,开心,清爽、酸感,常温,低糖,低糖常温清爽酸感型
S439,U439,地铁/公交/车站,疲劳、困倦,烦躁,果香、气泡感、清爽,冷饮,低糖,低糖冷饮清爽果香型
S440,U440,公园/户外,疲劳、困倦,紧张,苦感、清爽,热饮,,热饮清爽苦感型
S441,U441,商场/商业街,疲劳、困倦,平静,花香,热饮,,热饮花香型
S442,U442,健身房/运动场,疲劳、口渴,烦躁,果香、酸感,冷饮,低糖,低糖冷饮果香酸感型
S443,U443,学校/教学楼,困倦,紧张、平静,茶香、清爽,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽茶香型
S444,U444,公园/户外,疲劳、感觉有点冷,紧张,咖啡香、清爽、苦感,热饮,,热饮清爽咖啡香型
S445,U445,图书馆/自习室,良好,平静,清爽、果香,冷饮,低糖,低糖冷饮清爽果香型
S446,U446,地铁/公交/车站,疲劳,低落,果香、花香,热饮,乳糖不耐慎用,乳糖不耐慎用热饮果香花香型
S447,U447,学校/教学楼,困倦,平静,茶香、咖啡香、苦感,冷饮,,冷饮茶香咖啡香型
S448,U448,地铁/公交/车站,疲劳,紧张、平静,清爽,热饮,低糖,低糖热饮清爽型
S449,U449,地铁/公交/车站,困倦,烦躁、平静,清爽、咖啡香、苦感,热饮,低糖、咖啡因敏感慎用,低糖热饮清爽咖啡香型
S450,U450,商场/商业街,良好,平静,果香,热饮,乳糖不耐慎用,乳糖不耐慎用热饮果香型
S451,U451,商场/商业街,疲劳,开心,果香、花香、气泡感,冷饮,,冷饮果香花香型
S452,U452,公园/户外,困倦、感觉有点冷,烦躁、平静,茶香、清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽茶香型
S453,U453,学校/教学楼,困倦,紧张,清爽,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽型
S454,U454,地铁/公交/车站,疲劳,紧张,茶香、清爽,冷饮,,冷饮清爽茶香型
